Group,Ability to extract key information,Ability to maintain focus/attention,Ability to understand the context for the information presented,Ability to retain that information,Engagement with the material,Enjoyment of the material
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,Slightly improved,About the Same,About the Same,About the Same
Student,Slightly impaired,Slightly impaired,About the Same,About the Same,Strongly impaired,Slightly impaired
Student,Slightly improved,Strongly improved,Slightly improved,About the Same,About the Same,Slightly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly impaired,Slightly impaired,About the Same,About the Same,Slightly impaired,Slightly impaired
Student,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired
Student,About the Same,About the Same,About the Same,About the Same,Slightly impaired,About the Same
Student,About the Same,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired
Student,About the Same,Slightly improved,Slightly improved,Slightly improved,About the Same,About the Same
Student,About the Same,Slightly impaired,Slightly impaired,Slightly impaired,Strongly impaired,Strongly impaired
Student,About the Same,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Slightly improved,About the Same,Slightly improved,Slightly improved,About the Same,Slightly improved
Student,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,About the Same,Slightly impaired,Slightly improved,About the Same,.
Student,Slightly improved,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly impaired,Slightly impaired,Strongly impaired,Strongly impaired,Slightly impaired,Slightly impaired
Student,About the Same,Slightly impaired,Slightly impaired,Slightly impaired,About the Same,About the Same
Student,About the Same,About the Same,About the Same,About the Same,Slightly improved,Slightly improved
Student,Strongly improved,Strongly improved,Strongly improved,Slightly improved,About the Same,About the Same
Student,Strongly improved,Strongly improved,About the Same,About the Same,About the Same,About the Same
Student,About the Same,Slightly improved,Slightly improved,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Strongly improved,Strongly improved,About the Same,Strongly improved
Student,Strongly improved,Strongly improved,Strongly improved,Slightly improved,Strongly improved,Strongly improved
Student,Strongly improved,Slightly improved,Slightly improved,Strongly improved,About the Same,About the Same
Student,Slightly improved,Strongly improved,Slightly improved,About the Same,Strongly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,About the Same,Slightly improved,About the Same,Slightly improved,About the Same,About the Same
Student,About the Same,Slightly improved,About the Same,About the Same,About the Same,About the Same
Student,Strongly improved,Slightly improved,Slightly improved,About the Same,About the Same,Slightly improved
Student,About the Same,About the Same,About the Same,Slightly impaired,About the Same,About the Same
Student,About the Same,Slightly impaired,About the Same,About the Same,Slightly impaired,About the Same
Student,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,About the Same,About the Same
Student,About the Same,Strongly improved,About the Same,About the Same,About the Same,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,About the Same,Slightly improved,Slightly improved,Slightly improved,Slightly impaired
Student,About the Same,Slightly improved,Slightly improved,About the Same,Slightly improved,Slightly improved
Student,Strongly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Strongly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Strongly improved,Slightly improved,Strongly improved,Strongly improved,About the Same
